Employee_ID,High_Potential_Flag
747,0
297,0
500,1
573,0
262,1
805,0
866,0
683,1
558,1
612,1
622,0
529,1
882,0
189,0
252,0
102,0
946,0
398,0
888,0
566,1
668,0
996,0
772,0
331,0
599,0
735,0
366,0
282,0
867,1
782,1
814,0
854,0
464,0
208,1
514,0
219,1
240,0
964,0
356,1
565,1
193,0
281,0
192,1
408,1
431,0
686,0
133,0
708,0
524,0
253,0
721,1
552,0
264,0
71,0
273,0
113,0
328,0
116,1
324,0
38,0
868,0
424,1
906,0
835,0
948,0
516,0
531,0
603,0
755,0
654,0
279,1
840,0
695,1
3,1
230,1
504,0
991,0
869,0
915,0
619,0
200,0
917,1
955,0
438,0
656,0
66,1
308,1
41,0
591,0
795,0
697,0
505,0
542,0
50,0
604,0
274,0
745,0
702,0
687,0
178,1
301,0
354,1
203,0
237,0
150,0
448,0
218,0
723,0
474,0
653,0
303,1
914,0
978,0
717,0
986,0
389,0
479,0
492,0
423,0
388,0
860,0
391,1
535,0
353,0
194,0
770,1
890,0
481,0
56,0
117,1
97,0
142,0
958,0
918,0
636,0
598,0
674,0
121,0
811,0
930,0
63,0
809,0
819,0
454,0
780,0
415,0
4,0
59,0
224,0
222,0
466,0
53,0
486,0
709,0
156,0
707,0
249,0
442,0
904,0
569,0
925,0
292,1
382,0
952,1
762,1
963,0
506,0
815,0
861,0
341,1
155,0
916,0
777,0
838,0
323,0
643,0
624,0
83,1
621,1
465,0
761,0
334,1
11,0
471,0
33,1
934,1
383,0
726,0
631,0
959,0
968,0
379,0
90,0
214,0
987,0
134,0
347,1
8,0
658,0
321,0
832,0
188,1
553,0
305,1
32,0
652,1
241,0
880,0
175,0
246,1
57,1
799,0
146,0
91,0
393,0
311,0
360,0
94,0
738,0
377,0
244,0
875,0
88,0
215,0
445,0
174,1
426,0
823,0
119,0
120,1
677,0
1,0
395,0
402,0
405,0
657,0
664,0
163,0
115,0
151,0
626,0
628,1
774,1
544,0
478,1
533,1
513,0
259,0
625,0
898,0
136,0
617,0
982,0
704,0
593,0
846,0
502,0
539,0
713,0
582,0
344,0
752,0
663,1
294,1
365,0
669,1
15,0
87,1
371,0
166,0
935,0
336,1
60,0
355,0
425,0
293,0
42,0
330,0
615,0
430,1
80,0
255,1
797,1
459,0
384,0
314,0
85,0
575,0
137,0
112,0
195,0
179,0
939,0
130,0
338,0
609,0
125,0
105,0
227,0
269,1
153,1
585,0
104,0
594,0
977,0
228,1
937,0
302,0
276,1
127,0
406,0
943,1
37,0
140,0
304,0
268,0
534,1
546,1
213,0
469,0
199,0
673,0
528,0
676,0
975,0
242,0
343,0
550,0
387,0
911,0
207,0
696,0
818,0
74,0
793,0
734,0
756,1
17,0
440,0
92,1
89,0
451,1
718,0
103,0
239,0
769,0
247,0
821,0
158,0
480,0
646,0
974,1
872,0
19,0
751,0
122,1
886,0
275,0
951,0
312,0
806,0
902,0
547,1
182,0
185,0
407,0
720,1
607,0
693,0
521,1
381,1
411,0
635,0
370,0
859,0
883,0
801,0
79,0
574,0
638,0
608,0
843,0
69,0
881,0
980,0
417,0
790,0
562,0
68,0
537,1
78,1
106,0
829,1
639,0
560,0
808,0
691,0
641,1
995,1
922,1
736,0
826,0
491,0
894,0
606,0
364,0
70,1
549,1
161,1
12,0
145,0
518,0
428,0
640,0
177,0
441,0
522,1
923,0
999,0
689,0
211,0
144,0
754,0
520,0
349,1
299,0
767,1
429,0
613,0
985,1
994,1
9,0
157,0
540,1
507,0
437,1
267,0
827,0
462,1
577,0
339,0
256,1
853,0
901,0
666,1
561,0
209,0
288,0
2,0
342,1
270,0
266,0
864,0
871,0
727,0
43,0
399,1
884,0
629,0
46,0
162,0
728,0
630,0
289,0
590,0
970,0
576,0
851,0
316,0
944,1
231,0
810,0
877,1
712,1
77,0
634,0
248,0
820,0
825,0
477,0
671,1
86,1
470,0
226,0
775,0
332,0
234,0
589,0
476,0
346,0
983,0
600,0
422,0
688,1
183,1
618,0
333,0
439,0
931,1
6,0
530,1
235,0
487,1
960,0
498,0
885,0
954,1
107,0
444,0
489,0
647,0
13,0
739,0
191,0
833,0
283,0
30,0
170,0
181,0
101,0
198,0
496,0
722,1
648,0
45,0
992,0
711,0
374,1
679,0
940,0
649,0
798,1
848,0
461,0
909,0
414,1
132,0
40,1
435,0
216,0
556,0
567,0
763,0
475,1
457,1
812,0
261,1
817,0
36,0
828,0
912,0
310,0
277,0
637,1
655,0
623,0
836,1
845,0
394,0
108,0
525,0
785,0
204,0
988,0
632,1
22,0
403,0
947,0
84,0
131,0
896,0
842,0
742,0
698,0
287,0
124,0
34,0
788,0
517,0
924,0
20,0
220,1
892,1
580,0
482,1
932,0
357,0
662,0
225,0
760,0
93,0
152,0
318,0
449,0
804,0
746,0
523,0
280,0
584,1
765,1
605,1
350,0
928,0
375,0
401,1
705,0
258,0
945,0
852,1
73,0
196,0
484,1
856,0
495,0
773,0
463,0
202,0
313,0
291,0
764,0
950,0
184,0
251,1
941,0
392,0
905,0
731,1
555,0
367,1
536,0
920,0
212,0
538,0
